SMILES,Name,True_BBB,Prediction,Correct,Confidence,Prob_BBB_Plus,Prob_BBB_Minus
CC1COC2(c3ccccc3Cl)c3cc(Cl)ccc3NC(=O)CN12,Compound_34,BBB+,BBB+,True,98.75%,0.9875,0.0125
C[C@@H](C(=O)O)c1ccc(-c2ccccc2)c(F)c1,Compound_35,BBB-,BBB+,False,86.68%,0.8668,0.1332
COc1ccccc1OC(=O)CNC(=O)Cc1ccc(C(=O)c2ccc(C)cc2)n1C,Compound_36,BBB-,BBB+,False,77.14%,0.7714,0.2286
CC12CCC3C4C=CC(=O)NC4CCC3C1CCC2C(=O)Nc1cc(C(F)(F)F)ccc1C(F)(F)F,Compound_37,BBB-,BBB-,True,67.17%,0.3283,0.6717
CON=C(C(=O)NC1C(=O)N2C(C(=O)O)=C(CSc3nc(=O)c(=O)[nH]n3C)CSC12)c1csc(N)n1,Compound_38,BBB-,BBB+,False,52.06%,0.5206,0.4794
CCCCC(=O)O[C@H]1CC[C@H]2[C@@H]3CCc4cc(O)ccc4[C@H]3CC[C@]12C,Compound_39,BBB-,BBB-,True,87.63%,0.1237,0.8763
CN1[C@H](CSCC(F)(F)F)Nc2cc(Cl)c(S(N)(=O)=O)cc2S1(=O)=O,Compound_40,BBB+,BBB-,False,98.73%,0.0127,0.9873
Oc1ccc2c3c1OC1C(O)C=CC4C(C2)NCCC341,Compound_41,BBB+,BBB+,True,100.00%,1.0,0.0
CC1C=CC=CC=CC=CC=CC=CC=CC(OC2OC(C)C(O)C(N)C2O)CC2OC(O)(CC(O)CC(O)C(O)CCC(O)CC(O)CC(=O)OC(C)C(C)C1O)CC(O)C2C(=O)O,Compound_42,BBB-,BBB-,True,99.94%,0.0006,0.9994
CC1(C)O[C@H]2C[C@H]3[C@H]4C[C@H](F)C5=CC(=O)C=C[C@@]5(C)[C@@]4(F)[C@H](O)C[C@@]3(C)[C@]2(C(=O)CO)O1,Compound_43,BBB+,BBB+,True,99.71%,0.9971,0.0029
CC(=O)O[C@@H]1CC[C@@]2(C)[C@H]3CC[C@@]4(C)[C@@H]([C@@H](C)CCCC(C)C)CC[C@H]4[C@H]3C[C@H](Br)[C@@]2(Br)C1,Compound_44,BBB+,BBB+,True,99.89%,0.9989,0.0011
CCOC(=O)[C@@]1(N)[C@@H](c2ccccc2)[C@@H]1S(=O)(=O)c1ccc(C)cc1,Compound_45,BBB-,BBB-,True,95.32%,0.0468,0.9532
CCOC(=O)O[C@H](C)OC(=O)[C@H]1N2C(=O)[C@H](/N=C/N3CCCCCC3)[C@@H]2SC1(C)C,Compound_46,BBB-,BBB-,True,99.30%,0.007,0.993
O=C1C[C@H]2SC(C3(O)CN4C(=O)C[C@H]4S3)CN12,Compound_47,BBB+,BBB+,True,99.90%,0.999,0.001
CC(C)NC[C@@H](O)c1ccc(NS(C)(=O)=O)cc1,Compound_48,BBB+,BBB+,True,62.09%,0.6209,0.3791
CO/N=C(/C(=O)N[C@H]1C(=O)N2C(C(=O)O)=C(COC(C)=O)C[S+]([O-])[C@@H]12)c1csc(N)n1,Compound_49,BBB-,BBB-,True,96.99%,0.0301,0.9699
COc1ccc(C(C)(C)C)cc1C[NH2+][C@@H]1CCC[NH2+][C@@H]1c1ccccc1,Compound_50,BBB+,BBB+,True,99.99%,0.9999,0.0001
CO/N=C(/C(=O)N[C@@H]1C(=O)N2C(C(=O)OCOC(=O)C(C)(C)C)=C(C)CS[C@H]12)c1csc(N)n1,Compound_51,BBB-,BBB-,True,99.77%,0.0023,0.9977
CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(CSc3cnns3)CS[C@H]12)c1csc(N)n1,Compound_52,BBB-,BBB-,True,95.13%,0.0487,0.9513
CN1C[C@@H](CSc2ccccn2)C=C2c3cccc4[nH]cc(c34)C[C@H]21,Compound_53,BBB+,BBB+,True,100.00%,1.0,0.0
CCOC(=O)c1c[nH]c(=O)c2c1OC(=O)C[C@@H]2c1ccc2c(c1)n(C)c(=O)n2C,Compound_54,BBB-,BBB-,True,81.74%,0.1826,0.8174
CN[C@H]1[C@H](O)[C@H](O[C@@H]2[C@@H](O)[C@H](O[C@H]3O[C@@H](CN)CC[C@@H]3N)[C@@H](N)C[C@H]2N)OC[C@@]1(C)O,Compound_55,BBB-,BBB-,True,99.94%,0.0006,0.9994
O=C(C=Cc1ccc(O)cc1)c1ccc(O)cc1O,Compound_56,BBB+,BBB-,False,76.43%,0.2357,0.7643
COc1cc2c(cc1OC)CN(CCc1ccc(NC(=O)c3cccc4c(=O)c5cccc(OC)c5[nH]c34)cc1)CC2,Compound_57,BBB-,BBB+,False,74.64%,0.7464,0.2536
CC1(C)O[C@@H]2C[C@H]3[C@@H]4CCC5=CC(=O)CC[C@]5(C)[C@@]4(F)[C@@H](O)C[C@]3(C)[C@]2(C(=O)CCl)O1,Compound_58,BBB+,BBB+,True,99.97%,0.9997,0.0003
COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@](O)(C(=O)CO)C[C@H]3O[C@H]1C[C@H](N)[C@@H](O[C@H]2CCCCO2)[C@H](C)O1,Compound_59,BBB-,BBB-,True,87.46%,0.1254,0.8746
CCCCCOC(=O)Nc1nc(=O)n([C@@H]2O[C@H](C)[C@@H](O)[C@H]2O)cc1F,Compound_60,BBB+,BBB+,True,66.77%,0.6677,0.3323
CCOc1ccccc1OCCNC(C)Cc1ccc(OC)c(S(N)(=O)=O)c1,Compound_61,BBB-,BBB+,False,50.06%,0.5006,0.4994
COC(=O)C1C(OC(=O)c2ccccc2)CC2CCC1N2C,Compound_62,BBB+,BBB+,True,97.86%,0.9786,0.0214
Cc1ccc2c(c1)[C@H]1CN(C)CC[C@@H]1N2,Compound_63,BBB+,BBB+,True,100.00%,1.0,0.0
Nc1nc(Cl)nc2c1ncn2[C@H]1CC(O)[C@@H](CO)O1,Compound_64,BBB+,BBB+,True,80.69%,0.8069,0.1931
CCN(CC)C(=O)N[C@H]1C[C@H]2c3cccc4[nH]cc(c34)C[C@H]2N(C)C1,Compound_65,BBB+,BBB+,True,100.00%,1.0,0.0
CN(C)[C@@H]1C(=O)C(C(N)=O)=C(O)[C@]2(O)C(=O)C3=C(O)c4c(ccc(N)c4O)C[C@H]3C[C@@H]12,Compound_66,BBB-,BBB-,True,99.80%,0.002,0.998
COc1cc2nc(N3CCN(C(=O)c4ccco4)CC3)nc(C)c2cc1OC,Compound_67,BBB+,BBB+,True,52.79%,0.5279,0.4721
CO/N=C(/C(=O)N[C@@H]1C(=O)N2C(C(=O)O[C@@H](C)OC(C)=O)=C(COC(N)=O)CS[C@@H]12)c1ccco1,Compound_68,BBB-,BBB-,True,91.94%,0.0806,0.9194
CCCCNC(=O)OCC(C)(CCC)COC(N)=O,Compound_69,BBB+,BBB+,True,100.00%,1.0,0.0
C[NH+](C)Cc1ccc(CSCCNc2[nH]ccc2[N+](=O)[O-])o1,Compound_70,BBB-,BBB+,False,94.35%,0.9435,0.0565
NC(=O)CN1C(=O)C(c2ccccc2)c2ccccc21,Compound_71,BBB+,BBB+,True,98.99%,0.9899,0.0101
CO/N=C(/C(=O)NC1C(=O)N2C(C(=O)O)=C(COC(C)=O)CS[C@@H]12)c1ccco1,Compound_72,BBB-,BBB-,True,97.46%,0.0254,0.9746
CCC(=O)O[C@H]1[C@H](C)O[C@@H](O[C@H]2[C@H](C)[C@@H](O[C@H]3O[C@H](C)C[C@@H](N(C)C)[C@@H]3O)[C@H](C)C[C@@]3(CO3)C(=O)[C@H](C)[C@@H](OC(=O)CC)[C@H](C)[C@H](C)OC(=O)[C@@H]2C)C[C@H]1OC,Compound_73,BBB-,BBB-,True,99.89%,0.0011,0.9989
CN1C(=O)[C@@H](O)N=C(c2ccccc2)c2cc(Cl)ccc21,Compound_74,BBB+,BBB+,True,100.00%,1.0,0.0
CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)OC(C)OC(C)=O)=C(COC(N)=O)CS[C@H]12)c1ccco1,Compound_75,BBB-,BBB-,True,91.94%,0.0806,0.9194
CN(C)[C@@H]1C(=O)/C(=C(\N)O)C(=O)[C@@]2(O)C(=O)C3=C(O)c4c(O)ccc(Cl)c4[C@@H](O)[C@H]3C[C@@H]12,Compound_76,BBB-,BBB-,True,99.86%,0.0014,0.9986
NC[C@@H]1[C@@H](c2ccc3c(c2)OCO3)[C@@H]1S(=O)(=O)c1ccccc1,Compound_77,BBB+,BBB-,False,74.25%,0.2575,0.7425
CCn1ccc(NS(=O)(=O)c2ccc(N)cc2)nc1=O,Compound_78,BBB-,BBB-,True,80.76%,0.1924,0.8076
Cc1ccc(Cc2c[nH]c(NCCCCc3ncc(Br)cc3C)nc2=O)cn1,Compound_79,BBB-,BBB-,True,81.49%,0.1851,0.8149
CO[C@@]1(NC(=O)CSC(F)F)C(=O)N2C(C(=O)O)=C(CSc3nnnn3CCO)CO[C@H]21,Compound_80,BBB-,BBB-,True,91.96%,0.0804,0.9196
CC(=O)OCC(=O)[C@@]1(O)[C@H](C)C[C@H]2C3CC(F)(F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C,Compound_81,BBB+,BBB+,True,100.00%,1.0,0.0
CC[C@H](C)[C@@](C)(COC(N)=O)COC(=O)NC(C)C,Compound_82,BBB+,BBB+,True,100.00%,1.0,0.0
Clc1ccc(N2CCN(Cc3c[nH]c4ncccc34)CC2)cc1,Compound_83,BBB+,BBB+,True,100.00%,1.0,0.0
Cn1nnnc1SCC1=C(C(=O)O)N2C(=O)C(NC(=O)C(O)c3ccccc3)C2SC1,Compound_84,BBB-,BBB-,True,93.70%,0.063,0.937
Oc1c(I)cc(I)c2cccnc12,Compound_85,BBB-,BBB-,True,68.07%,0.3193,0.6807
CCC(C)C(C)(COC(N)=O)COC(=O)NC(C)C,Compound_86,BBB+,BBB+,True,100.00%,1.0,0.0
CN(C(=O)Cc1ccccc1N)C(CN1CCC(O)C1)c1ccccc1,Compound_87,BBB-,BBB-,True,92.99%,0.0701,0.9299
CC(=O)[C@@]1(O)[C@H](O)C[C@H]2[C@H]3CCC4=CC(=O)CC[C@@]4(C)[C@H]3CC[C@]21C,Compound_88,BBB+,BBB+,True,98.69%,0.9869,0.0131
CCC[C@H]1C[C@H](C(=O)N[C@H]([C@H]2O[C@@H](SC)[C@@H](OP(=O)(O)O)[C@H](O)[C@@H]2O)[C@@H](C)Cl)N(C)C1,Compound_89,BBB-,BBB-,True,99.80%,0.002,0.998
O=C1CCC(c2ccccc2)(C2CCN(CC=Cc3ccccc3)CC2)C(=O)N1,Compound_90,BBB+,BBB+,True,99.86%,0.9986,0.0014
CC(CC#N)N(C)CC(=O)N(C)c1ccc(Cl)cc1C(=O)c1ccccc1F,Compound_91,BBB+,BBB+,True,99.98%,0.9998,0.0002
C=CC1=C(C(=O)O)N2C(=O)C(NC(=O)/C(=N/OCC(=O)O)c3csc(N)n3)[C@@H]2SC1,Compound_92,BBB-,BBB-,True,99.54%,0.0046,0.9954
Cc1ccc(=O)n(-c2ccccc2)c1,Compound_93,BBB-,BBB+,False,51.71%,0.5171,0.4829
COc1cc2sc(C3CC3)nc2cc1CNC1CCCNC1c1ccccc1,Compound_94,BBB+,BBB+,True,99.99%,0.9999,0.0001
COC[C@H]1CN(c2ccc(OCC[C@@H](O)C(F)(F)F)cc2)C(=O)O1,Compound_95,BBB+,BBB+,True,98.36%,0.9836,0.0164
CC(=O)OCOC(=O)C1N2C(=O)C(NC(=O)Cc3ccccc3)C2SC1(C)C,Compound_96,BBB-,BBB-,True,99.97%,0.0003,0.9997
CC1(C)SC2C(NC(=O)C(NC(=O)Nc3cnc(Nc4ccc(S(N)(=O)=O)cc4)[nH]c3=O)c3ccc(O)cc3)C(=O)N2C1C(=O)O,Compound_97,BBB-,BBB-,True,99.43%,0.0057,0.9943
CN(C)CCc1ccccn1,Compound_98,BBB+,BBB+,True,100.00%,1.0,0.0
Cc1ccccc1-n1c(/C=C/c2ccccn2)nc2ccccc2c1=O,Compound_99,BBB+,BBB+,True,98.98%,0.9898,0.0102
COc1ccc2c(c1)c(CC(=O)OCC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,Compound_100,BBB-,BBB-,True,84.01%,0.1599,0.8401
Cc1cn(C2CC([N-][N+]#N)C(CO)O2)c(=O)[nH]c1=O,Compound_101,BBB+,BBB+,True,98.85%,0.9885,0.0115
C[C@H]1C[C@H]2[C@H]3C[C@H](F)C4=CC(=O)C=C[C@@]4(C)[C@H]3[C@H](O)C[C@@]2(C)[C@@]1(O)C(=O)CO,Compound_102,BBB+,BBB+,True,100.00%,1.0,0.0
O=c1[nH]c(=O)n(C2CC(O)C(CO)O2)cc1C=CBr,Compound_103,BBB-,BBB+,False,67.72%,0.6772,0.3228
CCC1OC(=O)C(C)C(OC2CC(C)(OC)C(O)C(C)O2)C(C)C(OC2OC(C)CC(N(C)C)C2O)C(C)(O)CC(C)C(=NOC)C(C)C(O)C1(C)O,Compound_104,BBB-,BBB-,True,99.99%,0.0001,0.9999
CC(=O)N1CCN(c2ccc(OCC3COC(Cn4ccnc4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1,Compound_105,BBB-,BBB-,True,70.49%,0.2951,0.7049
CC(=O)Oc1ccc(/C=C/C(=O)NCCc2ccccc2)cc1OC(C)=O,Compound_106,BBB-,BBB-,True,85.82%,0.1418,0.8582
CC(C)Oc1cccc(CC(=O)N2CCC[C@](CC[N+]34CCC(c5ccccc5)(CC3)CC4)(c3ccc(Cl)c(Cl)c3)C2)c1,Compound_107,BBB+,BBB+,True,88.92%,0.8892,0.1108
CC[C@H](NC(=O)c1ccc([N+](=O)[O-])c(C)c1)c1ccc(C)c(C)c1,Compound_108,BBB+,BBB-,False,83.66%,0.1634,0.8366
O=C1N(Cc2ccccc2)C2C[S+]3CCCC3C2N1Cc1ccccc1,Compound_109,BBB-,BBB+,False,72.16%,0.7216,0.2784
CCOc1ccc(Cc2nc3cc(N(C)S(=O)(=O)c4cccs4)ccc3n2CC2CCCCC2)nc1,Compound_110,BBB-,BBB+,False,92.42%,0.9242,0.0758
CCOc1nc2cccc(C(=O)O)c2n1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1,Compound_111,BBB-,BBB-,True,84.49%,0.1551,0.8449
NC(=O)N1c2ccccc2C=Cc2ccccc21,Compound_112,BBB+,BBB+,True,100.00%,1.0,0.0
O=c1c(-c2ccc(O)cc2)coc2c(C3OC(CO)C(O)C(O)C3O)c(O)ccc12,Compound_113,BBB-,BBB-,True,94.94%,0.0506,0.9494
NC(C(=O)NC1C(=O)N2C(C(=O)O)=C(Cl)CSC12)c1ccccc1,Compound_114,BBB-,BBB-,True,99.27%,0.0073,0.9927
Cc1nc2c(c(-n3ccc(C(F)(F)F)n3)n1)CCN2c1ccc(Cl)cc1Cl,Compound_115,BBB+,BBB+,True,99.74%,0.9974,0.0026
C=C1CC[C@H](O)C/C1=C/C=C1\CCC[C@]2(C)[C@@H]([C@H](C)CCCC(C)C)CC[C@@H]12,Compound_116,BBB-,BBB-,True,97.63%,0.0237,0.9763
CCc1cccc2c1N[C@@H]1[C@H]2CCOC1(CC(=O)O)CC(=O)O,Compound_117,BBB+,BBB+,True,95.96%,0.9596,0.0404
CCCCCCC(C)(C)c1cc(O)c2c(c1)OC(C)(C)[C@H]1CCC(=O)C[C@@H]21,Compound_118,BBB+,BBB+,True,99.95%,0.9995,0.0005
CCc1nc(C2CC2)c(C(N)=O)n1Cc1ccc2oc(-c3ccccc3NS(=O)(=O)C(F)(F)F)c(Br)c2c1,Compound_119,BBB-,BBB-,True,71.52%,0.2848,0.7152
CC1(C)O[C@H]2C[C@H]3[C@@H]4C[C@H](F)C5=CC(=O)CCC5(C)[C@H]4[C@@H](O)CC3(C)C2(C(=O)CO)O1,Compound_120,BBB+,BBB+,True,96.07%,0.9607,0.0393
CCCCCCC1(CC)C(=O)NC(=O)NC1=O,Compound_121,BBB+,BBB+,True,100.00%,1.0,0.0
CNC[C@H](O)c1ccc(OC(=O)C(C)(C)C)c(OC(=O)C(C)(C)C)c1,Compound_122,BBB-,BBB-,True,98.03%,0.0197,0.9803
CC(C)c1cn(C2CC(O)C(CO)O2)c(=O)[nH]c1=O,Compound_123,BBB-,BBB+,False,70.30%,0.703,0.297
CC(=O)C1(O)CCC2C3CC(C)C4=CC(=O)CCC4(C)C3CCC21C,Compound_124,BBB-,BBB-,True,75.65%,0.2435,0.7565
CCC(=O)N1CCN(C(=O)OC2C3=C(SCCS3)C(=O)N2c2ccc3ccc(Cl)nc3n2)CC1,Compound_125,BBB+,BBB+,True,100.00%,1.0,0.0
C[C@@H]1CC2[C@@H]3C[C@H](F)C4=CC(=O)C(Cl)=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO,Compound_126,BBB+,BBB+,True,99.99%,0.9999,0.0001
CC(C)CC1C(=O)N2CCCC2C2(O)OC(NC(=O)C3C=C4c5cccc6[nH]c(Br)c(c56)CC4N(C)C3)(C(C)C)C(=O)N12,Compound_127,BBB-,BBB-,True,85.62%,0.1438,0.8562
CN(C)[C@@H]1C(O)=C(C(=O)NCN[C@@H](C(=O)N[C@H]2C(=O)N3[C@@H](C(=O)O)C(C)(C)S[C@@H]23)c2ccccc2)C(=O)[C@@]2(O)C(O)=C3C(=O)c4c(O)cccc4[C@@](C)(O)[C@@H]3C[C@H]12,Compound_128,BBB-,BBB-,True,99.87%,0.0013,0.9987
Cc1cc(-c2ccc(O)cc2)nnc1NCCN1CCOCC1,Compound_129,BBB+,BBB+,True,96.72%,0.9672,0.0328
C[C@H](Nc1cc(-c2c(-c3cccc(C(F)(F)F)c3)nc(C3CCNCC3)n2C)ccn1)c1ccccc1,Compound_130,BBB+,BBB+,True,99.93%,0.9993,0.0007
CC1(C)S[C@@H]2[C@H](NC(=O)[C@@H](C(=O)Oc3ccc4c(c3)CCC4)c3ccccc3)C(=O)N2[C@H]1C(=O)O,Compound_131,BBB-,BBB-,True,99.65%,0.0035,0.9965
CCOC(=O)[C@@]1(c2ccccc2)CCC=C[C@H]1N(C)C,Compound_132,BBB+,BBB+,True,99.78%,0.9978,0.0022
Cn1c(=O)c2c(ncn2CCCNC[C@@H](O)c2cc(O)cc(O)c2)n(C)c1=O,Compound_133,BBB+,BBB-,False,90.27%,0.0973,0.9027
CC1(C)SC2C(NC(=O)c3nc4ccccc4nc3C(=O)O)C(=O)N2C1C(=O)O,Compound_134,BBB-,BBB-,True,92.67%,0.0733,0.9267
O[C@@H](c1cc(C(F)(F)F)nc2c(C(F)(F)F)cccc12)[C@H]1CCCCN1,Compound_135,BBB+,BBB+,True,99.99%,0.9999,0.0001
CO/N=C(\C(=O)NC1C(=O)N2C(C(=O)O[C@@H](C)OC(C)=O)=C(COC(N)=O)CS[C@@H]12)c1ccco1,Compound_136,BBB-,BBB-,True,91.94%,0.0806,0.9194
CCC(=O)OCC(=O)[C@@]1(OC(=O)CC)[C@H](C)C[C@@H]2[C@H]3CCC4=CC(=O)C=C[C@@]4(C)[C@]3(F)[C@@H](O)C[C@@]21C,Compound_137,BBB+,BBB+,True,100.00%,1.0,0.0
CC[N+](C)(C/C=C/C1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)/C(=N/OCF)c3nsc(N)n3)[C@H]2SC1)CC(N)=O,Compound_138,BBB-,BBB-,True,98.57%,0.0143,0.9857
C=CCN1CCC23CCCCC2C1Cc1ccc(O)cc13,Compound_139,BBB+,BBB+,True,99.99%,0.9999,0.0001
COc1ccc(C(=C(C#N)CCC(=O)O)c2ccc(OC)cc2)cc1,Compound_140,BBB-,BBB-,True,78.54%,0.2146,0.7854
CC[C@@H]1OC(=O)[C@@H](C)[C@@H](O[C@@H]2CC(C)(OC)[C@@H](O)[C@H](C)O2)C(C)[C@H](O[C@@H]2O[C@@H](C)C[C@H](N(C)C)[C@@H]2O)C(C)(O)C[C@H](C)C(=O)[C@@H](C)[C@@H](O)C1C,Compound_141,BBB-,BBB-,True,99.97%,0.0003,0.9997
CC[C@@]1(O)C[C@@H]2CN(CCc3c([nH]c4ccccc34)[C@@](C(=O)OC)(c3cc4c(cc3OC)N(C)[C@@H]3[C@@](O)(C(N)=O)[C@H](O)[C@]5(CC)C=CCN6CC[C@@]43[C@H]65)C2)C1,Compound_142,BBB-,BBB-,True,89.16%,0.1084,0.8916
OCCN1C[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO,Compound_143,BBB-,BBB-,True,98.92%,0.0108,0.9892
CC(=O)OCC(=O)OCCC(SC(=O)c1ccco1)=C(C)N(C=O)Cc1cnc(C)nc1N,Compound_144,BBB+,BBB+,True,87.47%,0.8747,0.1253
c1ccc(CC2=NCCN2)cc1,Compound_145,BBB+,BBB-,False,98.71%,0.0129,0.9871
CC(=O)OCC(=O)C1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4(C)[C@H]3C(=O)CC21C,Compound_146,BBB+,BBB+,True,99.94%,0.9994,0.0006
CC(=O)C1(O)CCC2C3CCC4=CC(=O)C=CC4(C)C3C(O)CC21C,Compound_147,BBB+,BBB+,True,99.88%,0.9988,0.0012
CN(C)[C@@H]1C(=O)C(C(N)=O)=C(O)[C@@]2(O)C(=O)C3=C(O)c4c(O)cccc4[C@@](C)(O)[C@H]3C[C@@H]12,Compound_148,BBB-,BBB-,True,99.16%,0.0084,0.9916
C[C@H]1[C@H](c2ccccc2)OCCN1C,Compound_149,BBB+,BBB+,True,99.98%,0.9998,0.0002
CN1C[C@H](CC#N)C[C@H]2c3cccc4[nH]cc(c34)C[C@@H]21,Compound_150,BBB+,BBB+,True,100.00%,1.0,0.0
O=C(/C=C\n1cnc(-c2cc(C(F)(F)F)cc(C(F)(F)F)c2)n1)NNc1cnccn1,Compound_151,BBB-,BBB+,False,74.40%,0.744,0.256
C/C(O)=C1/C(=O)[C@@H](N)[C@@H]2Cc3c(c(O)c4c(O)c(C)ccc4c3C)C(=O)C2(O)C1=O,Compound_152,BBB-,BBB-,True,99.99%,0.0001,0.9999
CCC[C@@H](N[C@H](C)C(=O)N1[C@H](C(=O)O)C[C@@H]2CCCC[C@@H]21)C(=O)OCC,Compound_153,BBB+,BBB-,False,80.32%,0.1968,0.8032
CN1CCN(c2cc3c(nn2)Oc2ccccc2N3C)CC1,Compound_154,BBB+,BBB+,True,99.81%,0.9981,0.0019
