sequence,type,label
CC(=CCCC(C)(C1CCC2(C1C(CC3C2(CCC4C3(CCC(C4(C)C)O)C)C)O)C)OC5C(C(C(C(O5)CO)O)O)O)C,SMILES,0
CC(C)COc1cccc(CC(=O)N2CCNc3nc(C(F)(F)F)ccc3C2CC(=O)O)c1,SMILES,0
CC(C)NC(=N)NC(=N)Nc1ccc(Cl)cc1,SMILES,1
CC(C)[C@H]1CC[C@@H](C(=O)N[C@H](Cc2ccccc2)C(=O)O)CC1,SMILES,1
CC1(C)S[C@@H]2[C@H](/N=C/N3CCCCCC3)C(=O)N2[C@H]1C(=O)O,SMILES,0
CC1(C)S[C@@H]2[C@H](NC(=O)C(/N=C/c3ccco3)c3ccc(O)cc3)C(=O)N2[C@H]1C(=O)O,SMILES,0
CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](C(=O)O)c3ccsc3)C(=O)N2[C@H]1C(=O)O,SMILES,0
CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](NC(=O)CNC(=N)c3ccncc3)c3ccccc3)C(=O)N2[C@H]1C(=O)O,SMILES,0
CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](NC(=O)Nc3cnc(Nc4ccc(S(N)(=O)=O)cc4)nc3O)c3ccc(O)cc3)C(=O)N2[C@H]1C(=O)O,SMILES,0
CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](NC(=O)c3cnc4cccnc4c3O)c3ccccc3)C(=O)N2[C@H]1C(=O)O,SMILES,0
CC1(C)S[C@@H]2[C@H](NC(=O)[C@]34C[C@H]5C[C@@H](C[C@](N)(C5)C3)C4)C(=O)N2[C@H]1C(=O)O,SMILES,0
CC1(c2cc(NC(=O)c3ccc(C#N)cn3)ccc2F)N=C(N)COC1F,SMILES,1
CC1=C(CC(=O)O)c2cc(F)ccc2/C1=C/c1ccc(S(C)=O)cc1,SMILES,1
CC1=CCCC1NC(=O)Nc1ccc(C#N)c(S(=O)(=O)C(C)(C)C)c1O,SMILES,0
CC1=CCCC1NC(=O)Nc1ccc(Cl)c(S(=O)(=O)C(C)(C)C(F)(F)F)c1O,SMILES,1
CC1=CCCC1NC(=O)Nc1ccc(Cl)c(S(=O)(=O)C(C)(C)C2CCOC2)c1O,SMILES,1
CC1=CCCC1NC(=O)Nc1ccc(Cl)c(S(=O)(=O)C(C)(C)CF)c1O,SMILES,1
CC1=CCCC1NC(=O)Nc1ccc(Cl)c(S(=O)(=O)C(C)(F)F)c1O,SMILES,0
CC1=CCCC1NC(=O)Nc1ccc(Cl)c(S(=O)(=O)C2(C)CCOC2)c1O,SMILES,0
CC1=CCCC1NC(=O)Nc1ccc(Cl)c(S(=O)(=O)C2CC(N(C)C)C2)c1O,SMILES,0
CC1=CCCC1NC(=O)Nc1ccc(Cl)c(S(=O)(=O)C2CC(N3CCCC3)C2)c1O,SMILES,0
CC1CCC2(C(C3C(O2)CC4C3(CCC5C4CC=C6C5(C(CC(C6)O)O)C)C)C)OC1,SMILES,0
CC1CCC2(C(C3C(O2)CC4C3(CCC5C4CC=C6C5(C(CC(C6)O)OC7C(C(C(C(O7)C)O)OC8C(C(C(CO8)O)O)O)OC9C(C(C(C(O9)C)O)O)O)C)C)C)OC1,SMILES,0
CC1CCC2(C(C3C(O2)CC4C3(CCC5C4CC=C6C5(CCC(C6)O)C)C)C)OC1,SMILES,0
CC1C(C(C(C(O1)OC2CCC3(C(C2(C)CO)CCC4(C3C=CC56C4(CC(C7(C5CC(CC7)(C)C)CO6)O)C)C)C)O)OC8C(C(C(C(O8)CO)O)O)O)O,SMILES,0
CC=CC#CC#CC(C(C=CCCCO)OC1C(C(C(C(O1)CO)O)O)O)O,SMILES,0
CCC(=C(CC)c1ccc(O)cc1)c1ccc(O)cc1,SMILES,1
CCC(C(N)=O)(C(N)=O)c1ccccc1,SMILES,1
CCC(NC(=O)c1cnn2cc(C)cnc12)c1ccc(OC(F)(F)F)cc1,SMILES,1
CCCC(=O)Nc1ccc(OC[CH]CNC(C)C)c(C(C)=O)c1,SMILES,1
CCCCC(=O)N(Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1)[C@H](C(=O)O)C(C)C,SMILES,1
CCCCN(c1ccc(C)nc1)C1CCN(c2ncnc3sc(C)c(C)c23)CC1,SMILES,1
CCCCOC(=O)COC(=O)C1=CC=CC=C1C(=O)OCCCC,SMILES,1
CCCCOC[C@H](CN1C(=O)N(C[C@H](COCCCC)OC(N)=O)C(=O)[C@@](CC)(c2ccccc2)C1=O)OC(N)=O,SMILES,1
CCCC[N+]1(C)[C@@H]2C[C@@H](OC(=O)[C@@H](CO)c3ccccc3)C[C@@H]1[C@H]1O[C@H]12,SMILES,0
CCCN(CCC)Cc1cn(-c2cc(NC(=S)NCC)ncn2)cn1,SMILES,1
CCCN(c1ccc(C)nc1)C1CCN(c2ncnc3sc(C)c(C)c23)CC1,SMILES,1
CCCOC(C(=O)OC1CCN(C)CC1)(c1ccccc1)c1ccccc1,SMILES,1
CCN1CCN(C(=O)N[C@@H](C(=O)N[C@@H]2C(=O)N3[C@@H]2SC(C)(C)[C@@H]3C(=O)O)c2ccccc2)C(=O)C1=O,SMILES,0
CCOC(=O)OC(C)OC(=O)[C@@H]1N2C(=O)[C@@H](/N=C/N3CCCCCC3)[C@H]2SC1(C)C,SMILES,0
CCOc1ccc(CC2CC(C(=O)NO)C2)cc1-c1nc2c(CC)nn(C)c2c(=O)[nH]1,SMILES,0
CCOc1ccc(OC2CCN(c3ncc(C(=O)NO)cn3)CC2)cc1-c1nc2c(CC)nn(C)c2c(=O)[nH]1,SMILES,0
CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)/C(=N\OC)[C@H](C)[C@@H](O)[C@]1(C)O,SMILES,0
CC[N+](C)(C/C=C/C1=C(C(=O)[O-])N2C(=O)[C@@H](NC(=O)/C(=N\OCF)c3nsc(N)n3)[C@H]2SC1)CC(N)=O,SMILES,0
CCc1c(C)[n+]([N-])c(-c2ccc(OC)c(OC)c2)c2cc(OC)c(OC)cc12,SMILES,1
CN(C)C(=O)Oc1cccc([N+](C)(C)C)c1,SMILES,0
CN(C)C1C(O)=C(C(=O)NCNC(C(=O)NC2C(=O)N3C2SC(C)(C)C3C(=O)O)c2ccccc2)C(=O)[C@@]2(O)C(O)=C3C(=O)c4c(O)cccc4C(C)(O)C3CC12,SMILES,0
CN(C)Cc1ccc(CSCCNc2ncc(Cc3ccc4ccccc4c3)c(O)n2)o1,SMILES,0
CN(C)[C@@H]1C(O)=C(C(=O)NC(C(=O)O)N2CCN(CCO)CC2)C(=O)[C@@]2(O)C(O)=C3C(=O)c4c(O)cccc4[C@@](C)(O)[C@H]3C[C@@H]12,SMILES,0
CN(C)[C@@H]1C(O)=C(C(=O)NCN2CCCC(C(=O)O)C2)C(=O)[C@@]2(O)C(O)=C3C(=O)c4c(O)cccc4[C@@](C)(O)[C@H]3C[C@@H]12,SMILES,0
CN(C)[C@@H]1C(O)=C(C(=O)NCN2CCCC2)C(=O)[C@@]2(O)C(O)=C3C(=O)c4c(O)cccc4[C@@](C)(O)[C@H]3C[C@@H]12,SMILES,0
CN(C)[C@@H]1C(O)=C(C(=O)NCN2CCN(C(=N)NC(=N)N)CC2)C(=O)[C@@]2(O)C(O)=C3C(=O)c4c(O)cccc4[C@@](C)(O)[C@H]3C[C@@H]12,SMILES,0
CN(C)[C@@H]1C(O)=C(C(=O)NCN2CCN(CCO)CC2)C(=O)[C@@]2(O)C(O)=C3C(=O)c4c(O)cccc4[C@@](C)(O)[C@H]3C[C@@H]12,SMILES,0
CN(C)[C@@H]1C(O)=C(C(=O)NCNCCCCC(N)C(=O)O)C(=O)[C@@]2(O)C(O)=C3C(=O)c4c(O)cccc4[C@@](C)(O)[C@H]3C[C@@H]12,SMILES,0
CN(C)[C@@H]1C(O)=C(C(=O)NCO)C(=O)[C@@]2(O)C(O)=C3C(=O)c4c(O)ccc(Cl)c4[C@@](C)(O)[C@H]3C[C@@H]12,SMILES,0
CN(C)[C@@H]1C(O)=C(C(N)=O)C(=O)[C@@]2(O)C(O)=C3C(=O)c4c(O)ccc(Cl)c4[C@@H](O)[C@H]3C[C@@H]12,SMILES,0
CN(C)[C@@H]1C(O)=C(C(N)=O)C(=O)[C@@]2(O)C(O)=C3C(=O)c4c(O)ccc(Cl)c4[C@@](C)(O)[C@H]3C[C@@H]12,SMILES,0
CN(C)[C@@H]1C(O)=C(C(N)=O)C(=O)[C@@]2(O)C(O)=C3C(=O)c4c(O)ccc([N+](=O)[O-])c4C[C@H]3C[C@@H]12,SMILES,0
CN(C)[C@@H]1C(O)=C(C(N)=O)C(=O)[C@@]2(O)C(O)=C3C(=O)c4c(O)cccc4[C@@H](O)[C@H]3C[C@@H]12,SMILES,0
CN(C)[C@@H]1C(O)=C(C(N)=O)C(=O)[C@@]2(O)C(O)=C3C(=O)c4c(O)cccc4[C@@](C)(O)C3[C@H](O)[C@@H]12,SMILES,0
CN(C)[C@@H]1C(O)=C(C(N)=O)C(=O)[C@@]2(O)C(O)=C3C(=O)c4c(O)cccc4[C@@](C)(O)[C@H]3C[C@@H]12,SMILES,0
CN(C)[C@@H]1C(O)=C(C(N)=O)C(=O)[C@@]2(O)C(O)=C3C(=O)c4c(ccc(N)c4O)C[C@H]3C[C@@H]12,SMILES,0
CN(CCN(C)CNC(=O)C1=C(O)[C@@H](N(C)C)[C@@H]2C[C@H]3C(=C(O)[C@]2(O)C1=O)C(=O)c1c(O)cccc1[C@@]3(C)O)CNC(=O)C1=C(O)[C@@H](N(C)C)[C@@H]2C[C@H]3C(=C(O)[C@]2(O)C1=O)C(=O)c1c(O)cccc1[C@@]3(C)O,SMILES,0
CN1C(=O)C(N2CCc3c(nn(Cc4ccccc4)c3Cl)C2=O)COc2cc(C#N)ccc21,SMILES,1
CN1C(=O)[C@@](C)(C2=CCCCC2)C(=O)N=C1O,SMILES,1
CN1CCC23c4c5ccc(O)c4OC2C(OC2OC(C(=O)O)C(O)C(O)C2O)C=CC3C1C5,SMILES,0
CN1CCC23c4c5ccc(OC6OC(C(=O)O)C(O)C(O)C6O)c4OC2C(O)C=CC3C1C5,SMILES,0
CN1CCN(CCCCN2C(=O)CN(/N=C/c3ccc(-c4ccc(Cl)cc4)o3)C2=O)CC1,SMILES,1
CN1[C@H]2CCC[C@@H]1C[C@H](NC(=O)c1nn(C)c3ccccc13)C2,SMILES,1
CN1[C@H]2CC[C@@H]1C[C@@H](OC(=O)[C@@H](CO)c1ccccc1)C2,SMILES,1
CN1C2C3=C(CCN2C(=O)C4=CC=CC=C41)C5=CC=CC=C5N3,SMILES,0
CNC(=C[N+](=O)[O-])NCCS[CH]c1ccc(CN(C)C)o1,SMILES,0
CN[C@@H]1[C@H](O[C@H]2[C@H](O[C@H]3[C@H](O)[C@@H](O)[C@H](NC(=N)N)[C@@H](O)[C@@H]3NC(=N)N)O[C@@H](C)[C@]2(O)C=O)O[C@@H](CO)[C@H](O)[C@H]1O,SMILES,0
CN[C@@H]1[C@H](O[C@H]2[C@H](O[C@H]3[C@H](O)[C@@H](O)[C@H](NC(=N)N)[C@@H](O)[C@@H]3NC(=N)N)O[C@@H](C)[C@]2(O)CO)O[C@@H](CO)[C@H](O)[C@H]1O,SMILES,0
CO/N=C(/C(=O)N[C@@H]1C(=O)N2C(C(=O)[O-])=C(C[N+]3(C)CCCC3)CS[C@H]12)c1csc(N)n1,SMILES,0
CO/N=C(/C(=O)N[C@@H]1C(=O)N2C(C(=O)[O-])=C(C[N+]34CCC(C(N)=O)(CC3)CC4)CS[C@H]12)c1nsc(N)n1,SMILES,0
CO/N=C(/C(=O)N[C@@H]1C(=O)N2C(C(=O)[O-])=C(C[n+]3ccc(N)n3CCO)CS[C@H]12)c1csc(N)n1,SMILES,0
CO/N=C(/C(=O)N[C@@H]1C(=O)N2C(C(=O)[O-])=C(C[n+]3cccc4c3CCCC4)CS[C@H]12)c1csc(N)n1,SMILES,0
CO/N=C(/C(=O)N[C@H]1C(=O)N(OCC(=O)OCC(=O)OC(C)(C)C)[C@@H]1C)c1csc(N)n1,SMILES,0
CO/N=C(/C(=O)N[C@H]1C(=O)N2C(C(=O)O)=C(C)CS[C@@H]12)c1csc(N)n1,SMILES,0
CO/N=C(/C(=O)N[C@H]1C(=O)N2C(C(=O)O)=C(COC(C)=O)CS(=O)[C@@H]12)c1csc(N)n1,SMILES,0
CO/N=C(/C(=O)N[C@H]1C(=O)N2C(C(=O)O)=C(CSC(=O)c3ccco3)CS[C@@H]12)c1csc(N)n1,SMILES,0
CO/N=C(/C(=O)N[C@H]1C(=O)N2C(C(=O)O)=C(CSc3nc(=O)c(=O)[nH]n3C)CS[C@@H]12)c1csc(N)n1,SMILES,0
CO/N=C(/C(=O)N[C@H]1C(=O)N2C(C(=O)O)=C(CSc3nc(C)c(CC(=O)O)s3)CS[C@@H]12)c1csc(N)n1,SMILES,0
CO/N=C(/C(=O)N[C@H]1C(=O)N2C(C(=O)O)=C(CSc3nnnn3C)CS[C@@H]12)c1csc(N)n1,SMILES,0
CO/N=C(/C(=O)N[C@H]1C(=O)N2C(C(=O)O)=C(Cn3nnc(C)n3)CS[C@@H]12)c1csc(N)n1,SMILES,0
CO/N=C(/C(=O)N[C@H]1C(=O)N2C(C(=O)O)=CCS[C@@H]12)c1csc(=N)[nH]1,SMILES,0
CO/N=C(\C(=O)N[C@@H]1C(=O)N(OCC(=O)O)[C@H]1C)c1csc(N)n1,SMILES,0
CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)OC(C)OC(=O)C(C)(C)OC)=C(COC(N)=O)CS[C@H]12)c1ccco1,SMILES,0
CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)OCOC(=O)C(C)(C)C)=CCS[C@H]12)c1csc(NC(=O)[C@H](C)N)n1,SMILES,0
CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)[O-])=C(C[n+]3cccc4c3CCC4)CS[C@H]12)c1csc(N)n1,SMILES,0
CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)[O-])=C(C[n+]3ccn4ncccc43)CS[C@H]12)c1nsc(N)n1,SMILES,0
COCCCOc1ccnc(CS(=O)c2nc3ccccc3[nH]2)c1C,SMILES,1
COCCOc1cnc(NS(=O)(=O)c2ccccc2)nc1,SMILES,1
CON=C(C(=O)N[C@H]1C(=O)N2C(C(=O)O)=C(CSc3nc(=O)c(O)nn3C)CS[C@@H]12)c1csc(N)n1,SMILES,0
CO[C@@]1(NC(=O)CSC[C@@H]([NH3+])C(=O)[O-])C(=O)N2C(C(=O)O)=C(CSc3nnnn3C)CS[C@@H]21,SMILES,0
CO[C@H]1C=CO[C@@]2(C)Oc3c(C)c(O)c4c(O)c(c(/C=N/N5CCN(C)CC5)c(O)c4c3C2=O)NC(=O)C(C)=CC=C[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C,SMILES,0
CO[C@H]1C=CO[C@@]2(C)Oc3c(C)c(O)c4c(O)c(c(/C=N/N5CCN(C6CCCC6)CC5)c(O)c4c3C2=O)NC(=O)C(C)=CC=C[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C,SMILES,0
CO[C@H]1C=CO[C@@]2(C)Oc3c(C)c(O)c4c(c3C2=O)C2=NC3(CCN(CC(C)C)CC3)NC2=C(NC(=O)C(C)=CC=C[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C)C4=O,SMILES,0
COc1cc(C)c(S(C)=O)cc1OC,SMILES,1
COc1cc(N)c(Cl)cc1C(=O)N[C@@H]1CCN(CCCOc2ccc(F)cc2)C[C@@H]1OC,SMILES,1
COc1cc2nc(N3CCN(C(=O)C4CCCO4)CC3)nc(N)c2cc1OC,SMILES,0
COc1ccc(C23c4ccccc4C(=O)N2CCN3C(=O)c2cc(F)c(F)c(F)c2)cc1C,SMILES,1
COC1=C(C=C(C=C1)C=CC(=O)O)O,SMILES,0
COc1ccc(CCN(C)CCCN2CCc3cc(OC)c(OC)cc3CC2=O)cc1OC,SMILES,1
COc1ccc(CN2CCOC(COc3ccccc3)C2)cc1F,SMILES,1
COc1ccc(CNC(=O)C2CCN(c3c(C#N)cnc4ccc(F)cc34)CC2)cc1F,SMILES,1
COc1ccc(N2CCN(c3c(C)c(C)c4c(c3C)C(=O)C(C)(C)O4)CC2)cc1,SMILES,1
COc1ccc(N2CCN(c3c(C)c(C)c4c(c3C)CC(C)(C)O4)CC2)cc1,SMILES,1
COc1ccc(N2CCN(c3nc(-c4ccncn4)cc(=O)n3C)C(C)C2)cc1,SMILES,1
COc1ccc([C@]2(C#N)CC[C@H](C(=O)O)CC2)cc1OC1CCCC1,SMILES,1
COc1ccc2[nH]c([S@](=O)Cc3ncc(C)c(OC)c3C)nc2c1,SMILES,0
COc1ccc2cc(CCC(C)=O)ccc2c1,SMILES,1
COC1=C(C2=C[N+]3=C(C=C2C=C1)C4=CC5=C(C=C4CC3)OCO5)OC.[Cl-],SMILES,1
COc1cccc(C(=O)N[C@@H]2C[C@H]3CC[C@@H](C2)N3Cc2ccccc2)c1OC,SMILES,1
COc1cccc(C(=O)N[C@@H]2C[C@@H]3CC[C@H](C2)N3Cc2ccccc2)c1OC,SMILES,1
COc1cccc(C2=NC(C(F)(F)F)(C(F)(F)F)c3c(n(-c4ccc(Cl)cc4)c(=O)[nH]c3=O)N2)c1,SMILES,0
COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(/C(C)=N\NC(=O)c1ccccc1)C[C@@H]3O[C@H]1C[C@H](N)[C@H](O)[C@H](C)O1,SMILES,0
[H]C([H])([H])Oc1ccccc1-n1nc2c3cc(Cl)ccc3[nH]cc-2c1=O,SMILES,1
COc1ccccc1N1CCN(CCCNc2cc(=O)n(C)c(=O)n2C)CC1,SMILES,1
COc1cccnc1CCCCNc1ncc(Cc2ccc(C)nc2)c(O)n1,SMILES,0
COc1ccnc(CS(=O)c2nc3cc(OC(F)F)ccc3[nH]2)c1OC,SMILES,1
COc1cnc(C(=O)Nc2ccc(F)c(C3(C)N=C(N)COC3F)c2)cn1,SMILES,1
COc1cncc(N2CC(NC(=O)c3sc4nnc(C)c(C)c4c3N)C2)c1,SMILES,0
COc1nn(-c2ccc(C)cc2)c2cc(-c3ccc(C4CC4C(=O)O)cc3)cc(F)c12,SMILES,1
COc1nn(-c2ccccn2)c2cc(-c3ccc(C4CC4C(=O)O)cc3)cc(F)c12,SMILES,1
COc1nn(-c2ccccn2)c2cc(-c3ccc(C4CC4C(=O)O)cc3)ccc12,SMILES,1
CSc1ccc(CNC(=O)c2sc3nnc(C)c(C)c3c2N)cc1,SMILES,1
CSc1ccc2ncn(/C=C/C(=O)O)c(=O)c2c1,SMILES,1
Fc2cc(ccc2c1ccccc1)[C@H](C(=O)O)C,SMILES,0
C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(S[C@H]3CCS(=O)C3)S[C@H]12,SMILES,0
C[C@@H](O)[C@H]1C(=O)N2C(C(=O)[O-])=C(SC3Cn4cnc[n+]4C3)[C@H](C)[C@H]12,SMILES,0
C[C@@H]1[C@@H](NC(=O)/C(=N\OC(C)(C)C(=O)O)c2csc(N)n2)C(=O)N1S(=O)(=O)O,SMILES,0
C[C@H](O)[C@@H]1C(=O)N2C(C(=O)O)=C(SCC/N=C/N)C[C@@H]12,SMILES,0
C[C@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(SCCNC=N)C[C@@H]12,SMILES,0
C[C@H]1CN(c2c(F)c(N)c3c(=O)c(C(=O)O)cn(C4CC4)c3c2F)C[C@H](C)N1,SMILES,1
C[C@]12C=CC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)COC(=O)CCC(=O)O,SMILES,1
C[C@@]12C[C@H]3CC(N)(C1)C[C@](C)(C3)C2,SMILES,1
C[N+](C)(C)CCCCCC[N+](C)(C)C.[Br-].[Br-],SMILES,0
C[N+]1(CCCS(=O)(=O)[O-])C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2,SMILES,0
Cc1cc(C)nc(NS(=O)(=O)c2ccc(N)cc2)n1,SMILES,1
Cc1cc(C23c4ccccc4C(=O)N2CCN3C(=O)c2ccc(F)c(F)c2)ccc1Cl,SMILES,1
Cc1cc(CC(=O)O)n(C)c1C(=O)c1ccc(Cl)cc1,SMILES,1
Cc1cc(O)c(C(=O)N[C@@H](C(=O)N[C@@H]2C(=O)N3C(C(=O)O)=C(CSc4nnnn4C)CS[C@H]23)c2ccc(O)cc2)cn1,SMILES,0
Cc1ccc(-n2nc(C)c3ccc(-c4ccc(C5CC5C(=O)O)cc4)cc32)cc1,SMILES,1
Cc1ccc(-n2nc(C)c3cnc(-c4ccc(C5CC5C(=O)O)cc4F)cc32)nc1,SMILES,1
Cc1ccc(C(=O)c2ccc(CC(=O)O)n2C)cc1,SMILES,1
Cc1ccc(CN2CCC(F)(F)C(CCc3ccccc3)C2)cc1C,SMILES,1
Cc1ccc(CN2CCOC(CSc3ccccc3)C2)cc1C,SMILES,1
Cc1ccc(OC2CCN(c3c(C#N)cnc4ccc(F)cc34)CC2)cn1,SMILES,1
Cc1ccc(OC2CCN(c3cc(C)nc4ccc(F)cc34)CC2)cn1,SMILES,1
Cc1ccc(OC2CCN(c3nc(C)nn4ccc(C)c34)CC2)cn1,SMILES,1
Cc1ccc(OC2CCN(c3ncnc4ccc(F)cc34)CC2)cn1,SMILES,1
Cc1ccc(OC2CCN(c3ncnc4sc(C)c(C)c34)CC2)cn1,SMILES,1
Cc1ccc(Oc2cccc(CC(=O)N3CCNc4nc(C(F)(F)F)ccc4C3CC(=O)O)c2)cn1,SMILES,0
Cc1ccc2ncnc(N3CCC(Oc4ccc(C)nc4)CC3)c2c1,SMILES,1
Cc1cccc(C)c1NC(=O)NCCCNC(C)C,SMILES,1
Cc1cnc(CS(=O)c2nc3ccccc3[nH]2)cc1OCC(F)(F)F,SMILES,1
CC1=COC2=C1C(=O)C(=O)C3=C2C=CC4=C3CCCC4(C)C,SMILES,1
Cc1ncc(OC2CCN(c3ncnc4sc(C)c(C)c34)CC2)cn1,SMILES,1
Cc1nn(CC(F)CN2C3CCC2CC(OCc2cccc(F)c2)C3)c(=O)n1C,SMILES,1
Cc1nnc2sc(C(=O)NC3CN(C(=O)c4ccncc4)C3)c(N)c2c1C,SMILES,0
Cc1nnc2sc(C(=O)NC3CN(c4ccc(C(F)(F)F)nc4)C3)c(N)c2c1C,SMILES,1
Cc1nnc2sc(C(=O)NC3CN(c4cccc(F)c4F)C3)c(N)c2c1C,SMILES,1
Cc1nnc2sc(C(=O)NC3CN(c4ccccc4)C3)c(N)c2c1C,SMILES,1
Cc1nnc2sc(C(=O)NC3CN(c4cccnc4)C3)c(N)c2c1C,SMILES,0
Cc1nnc2sc(C(=O)NC3CN(c4ccncn4)C3)c(N)c2c1C,SMILES,0
Cc1nnc2sc(C(=O)NC3CN(c4cnccn4)C3)c(N)c2c1C,SMILES,0
Cc1nnc2sc(C(=O)NC3CN(c4cncnc4)C3)c(N)c2c1C,SMILES,0
Cc1nnc2sc(C(=O)NC3CN(c4nc5cccnc5s4)C3)c(N)c2c1C,SMILES,1
Cc1nnc2sc(C(=O)NCc3ccc(-c4ccncc4)cc3)c(N)c2c1C,SMILES,1
Cc1nnc2sc(C(=O)NCc3ccc(S(=O)(=O)C(C)(C)C)cc3)c(N)c2c1C,SMILES,1
Cc1nnc2sc(C(=O)NCc3ccc(S(=O)(=O)C(C)C)cc3)c(N)c2c1C,SMILES,0
Cc1nnc2sc(C(=O)NCc3ccc(S(=O)(=O)C(F)(F)F)cc3)c(N)c2c1C,SMILES,1
Cc1nnc2sc(C(=O)NCc3ccc(S(=O)(=O)C(F)F)cc3)c(N)c2c1C,SMILES,1
Cc1nnc2sc(C(=O)NCc3ccc(S(=O)(=O)C4CC4)cc3)c(N)c2c1C,SMILES,0
Cc1nnc2sc(C(=O)NCc3ccc(S(C)(=O)=O)c(F)c3)c(N)c2c1C,SMILES,1
Cc1nnc2sc(C(=O)NCc3ccc(S(C)(=O)=O)cc3)c(N)c2c1C,SMILES,0
Cc1nnc2sc(C(=O)NCc3ccc(S(F)(F)(F)(F)F)cc3)c(N)c2c1C,SMILES,1
Cc1sc2ncnc(N3CCC(C(=O)N4CCCC4)CC3)c2c1C,SMILES,1
Cc1sc2ncnc(N3CCC(Oc4ccc(Cl)nc4)CC3)c2c1C,SMILES,1
Cc1sc2ncnc(N3CCC(Oc4ccc(F)nc4)CC3)c2c1C,SMILES,1
Cc1sc2ncnc(N3CCC(Oc4ccc5c(c4)CCO5)CC3)c2c1C,SMILES,1
