atom_count_C,atom_count_N,atom_count_O,atom_count_S,atom_count_P,atom_count_F,atom_count_Cl,atom_count_Br,atom_count_I,atom_count_B,motif_count_amide,motif_count_amine,motif_count_hydroxyl,motif_count_carboxyl,motif_count_aromatic_ring,motif_count_halogen,motif_count_sulfonamide,motif_count_hetero5_ring,motif_count_hetero6_ring,num_atoms,num_bonds,tpsa,logp,hbd,hba,rot_bonds,ring_count
16.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,6.0,0.0,23.0,26.0,61.42,2.8509,0.0,6.0,3.0,4.0
13.0,8.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,7.0,1.0,28.0,31.0,156.09,-0.9445,2.0,12.0,7.0,4.0
21.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,25.0,27.0,46.53,2.7045,1.0,3.0,5.0,3.0
22.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,27.0,30.0,37.39,5.1632,1.0,5.0,8.0,4.0
17.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,21.0,22.0,58.56,2.3334,2.0,4.0,5.0,2.0
16.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,4.0,22.0,25.0,50.72,1.5275,0.0,6.0,3.0,4.0
18.0,3.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,25.0,27.0,76.82,2.0878,2.0,5.0,6.0,3.0
129.0,38.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,12.0,11.0,5.0,0.0,0.0,5.0,0.0,190.0,198.0,1052.39,0.30551,48.0,41.0,106.0,9.0
17.0,3.0,2.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,3.0,1.0,2.0,0.0,26.0,28.0,77.98,3.51392,1.0,4.0,3.0,3.0
11.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,15.0,16.0,52.02,0.9491,1.0,3.0,2.0,2.0
154.0,37.0,41.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,31.0,22.0,18.0,5.0,0.0,0.0,4.0,0.0,233.0,241.0,1311.31,-2.00293,60.0,54.0,129.0,9.0
21.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,24.0,28.0,48.91,4.1181,2.0,2.0,0.0,5.0
10.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,14.0,15.0,49.41,0.2775,1.0,2.0,1.0,2.0
55.0,13.0,12.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,7.0,5.0,1.0,0.0,0.0,2.0,0.0,82.0,84.0,405.57,1.25127,20.0,20.0,42.0,3.0
30.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,1.0,40.0,44.0,107.98,4.7954,0.0,10.0,8.0,5.0
25.0,4.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,1.0,0.0,3.0,3.0,34.0,39.0,84.86,3.7403,0.0,6.0,3.0,6.0
11.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,16.0,17.0,78.61,0.8914,2.0,3.0,3.0,2.0
11.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,13.0,14.0,21.26,1.736,1.0,2.0,1.0,2.0
24.0,5.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,2.0,1.0,33.0,37.0,91.46,2.87878,0.0,6.0,3.0,5.0
23.0,7.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,3.0,0.0,0.0,0.0,4.0,35.0,37.0,207.3,0.9816,5.0,9.0,10.0,3.0
22.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,1.0,30.0,34.0,75.69,2.8818,0.0,8.0,4.0,5.0
40.0,11.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,4.0,3.0,1.0,0.0,0.0,2.0,0.0,58.0,60.0,313.22,1.04377,14.0,12.0,29.0,3.0
18.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,24.0,26.0,89.6,2.7042,2.0,6.0,4.0,3.0
193.0,48.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,37.0,28.0,25.0,5.0,0.0,0.0,5.0,0.0,298.0,307.0,1744.51,-5.85516,71.0,72.0,163.0,10.0
73.0,26.0,18.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,9.0,9.0,1.0,0.0,0.0,9.0,0.0,118.0,123.0,725.95,-3.53893,30.0,30.0,64.0,6.0
19.0,2.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0,0.0,0.0,2.0,26.0,29.0,82.77,2.3071,2.0,5.0,2.0,4.0
11.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,2.0,19.0,21.0,80.28,-1.1934,0.0,8.0,2.0,3.0
11.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,19.0,19.0,95.5,2.5108,3.0,3.0,3.0,1.0
10.0,3.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,4.0,0.0,0.0,3.0,17.0,18.0,28.16,2.1634,1.0,3.0,1.0,2.0
24.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,33.0,100.9,2.3744,2.0,6.0,3.0,4.0
17.0,0.0,4.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,1.0,23.0,25.0,63.6,3.8283,1.0,4.0,2.0,3.0
20.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,25.0,28.0,39.52,2.8531,0.0,5.0,5.0,4.0
51.0,14.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.0,7.0,7.0,2.0,0.0,0.0,0.0,0.0,80.0,81.0,514.37,-2.66893,21.0,19.0,44.0,2.0
11.0,2.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0,17.0,19.0,67.43,0.6429,2.0,3.0,0.0,3.0
15.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,20.0,22.0,64.52,2.0813,4.0,4.0,1.0,3.0
47.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,3.0,65.0,71.0,298.14,-0.4169,12.0,18.0,12.0,7.0
11.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,2.0,19.0,21.0,80.28,-1.1934,0.0,8.0,2.0,3.0
20.0,6.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,6.0,31.0,33.0,79.21,1.7635,2.0,6.0,6.0,3.0
42.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,53.0,58.0,111.22,5.8775,0.0,11.0,9.0,6.0
18.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,25.0,27.0,97.05,0.39448,1.0,7.0,3.0,3.0
16.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,18.0,19.0,16.13,3.1652,0.0,2.0,5.0,2.0
19.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,24.0,25.0,38.33,4.3308,1.0,3.0,9.0,2.0
16.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,23.0,25.0,89.75,1.5429,1.0,6.0,5.0,3.0
17.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,28.0,29.0,192.54,-3.5854,6.0,10.0,6.0,2.0
19.0,8.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,4.0,1.0,35.0,38.0,199.94,-1.8606,5.0,13.0,9.0,4.0
32.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,2.0,0.0,0.0,0.0,2.0,45.0,50.0,204.3,1.5522,5.0,13.0,7.0,6.0
184.0,49.0,61.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,40.0,32.0,28.0,3.0,0.0,0.0,7.0,0.0,295.0,303.0,1800.84,-11.87293,76.0,78.0,172.0,9.0
22.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,30.0,33.0,158.15,1.26504,5.0,8.0,1.0,4.0
22.0,6.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,2.0,4.0,33.0,36.0,113.42,1.6109,1.0,8.0,7.0,4.0
141.0,46.0,45.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,35.0,25.0,18.0,4.0,0.0,0.0,6.0,0.0,238.0,245.0,1525.58,-15.64289,73.0,69.0,134.0,8.0
115.0,27.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,23.0,13.0,12.0,2.0,0.0,0.0,3.0,0.0,168.0,172.0,865.84,1.4275,38.0,39.0,94.0,5.0
17.0,6.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,3.0,25.0,28.0,97.03,1.90394,2.0,7.0,3.0,4.0
14.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,17.0,19.0,57.53,2.233,2.0,3.0,0.0,3.0
15.0,3.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,23.0,24.0,101.73,0.4142,2.0,5.0,6.0,2.0
17.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,20.0,22.0,52.05,4.2947,1.0,3.0,4.0,3.0
54.0,6.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,78.0,332.4,2.3433,6.0,18.0,9.0,1.0
131.0,33.0,40.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,29.0,22.0,17.0,3.0,0.0,0.0,3.0,0.0,210.0,215.0,1192.89,-8.0936,58.0,61.0,122.0,6.0
36.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,3.0,45.0,49.0,120.43,0.0327,6.0,5.0,11.0,5.0
11.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,18.0,19.0,85.08,2.14294,2.0,5.0,3.0,2.0
19.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,20.0,23.0,3.24,3.9212,0.0,1.0,1.0,4.0
71.0,18.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.0,12.0,11.0,1.0,0.0,0.0,3.0,0.0,113.0,116.0,720.27,-3.3309,28.0,29.0,63.0,4.0
20.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,25.0,26.0,86.99,3.4085,3.0,4.0,10.0,2.0
21.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,24.0,26.0,43.7,3.7688,2.0,3.0,5.0,3.0
27.0,2.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,35.0,37.0,112.05,4.05052,3.0,7.0,2.0,3.0
78.0,27.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,9.0,9.0,2.0,0.0,0.0,7.0,0.0,123.0,129.0,735.53,-3.32076,32.0,29.0,62.0,7.0
18.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,2.0,0.0,0.0,2.0,0.0,24.0,26.0,91.18,2.0807,4.0,6.0,6.0,3.0
24.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,1.0,27.0,30.0,20.23,7.2053,1.0,2.0,5.0,4.0
42.0,2.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,58.0,61.0,196.33,2.2017,5.0,16.0,12.0,4.0
20.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,23.0,25.0,23.47,2.8465,1.0,2.0,4.0,3.0
17.0,2.0,1.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,6.0,0.0,0.0,2.0,26.0,28.0,45.15,4.4479,2.0,3.0,2.0,3.0
31.0,2.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,2.0,44.0,47.0,200.01,3.62712,5.0,11.0,8.0,4.0
17.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,21.0,22.0,49.77,2.1801,1.0,4.0,6.0,2.0
17.0,2.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,25.0,26.0,118.72,3.0365,3.0,5.0,8.0,2.0
11.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,18.0,19.0,98.22,1.67444,2.0,5.0,3.0,2.0
11.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,20.0,20.0,95.5,1.28439,3.0,3.0,3.0,1.0
133.0,43.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,35.0,22.0,19.0,2.0,0.0,0.0,2.0,0.0,219.0,221.0,1470.65,-11.34652,64.0,56.0,131.0,3.0
18.0,6.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,1.0,0.0,0.0,4.0,1.0,31.0,34.0,150.54,-0.2256,3.0,10.0,7.0,4.0
14.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,19.0,21.0,59.3,2.346,1.0,3.0,1.0,3.0
18.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,23.0,26.0,54.34,1.7956,1.0,3.0,3.0,4.0
21.0,5.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,2.0,31.0,33.0,130.15,2.07812,3.0,6.0,7.0,3.0
20.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,26.0,61.09,3.83718,1.0,3.0,1.0,4.0
24.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,2.0,0.0,31.0,35.0,93.06,2.2747,2.0,6.0,2.0,5.0
18.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,24.0,26.0,89.6,2.7042,2.0,6.0,4.0,3.0
19.0,3.0,5.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,1.0,2.0,0.0,3.0,0.0,30.0,33.0,112.74,2.68782,2.0,6.0,4.0,4.0
114.0,33.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,26.0,16.0,13.0,3.0,0.0,0.0,3.0,0.0,179.0,183.0,1099.37,-7.02673,47.0,46.0,103.0,5.0
17.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,22.0,25.0,62.3,0.9181,1.0,5.0,4.0,4.0
25.0,1.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13.0,0.0,0.0,0.0,0.0,0.0,3.0,44.0,47.0,321.17,-8.5645,14.0,19.0,9.0,4.0
120.0,27.0,27.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,14.0,13.0,2.0,0.0,0.0,2.0,0.0,178.0,181.0,868.32,1.9042,41.0,45.0,106.0,4.0
17.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,19.0,21.0,23.47,3.1695,1.0,2.0,2.0,3.0
19.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,22.0,25.0,28.16,3.3114,1.0,3.0,2.0,4.0
137.0,60.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,17.0,15.0,1.0,0.0,0.0,1.0,0.0,229.0,230.0,1641.02,-13.42,76.0,57.0,143.0,2.0
13.0,3.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,3.0,22.0,24.0,99.6,1.6425,2.0,6.0,2.0,3.0
20.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,1.0,25.0,27.0,23.55,4.6489,0.0,2.0,4.0,3.0
31.0,10.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,4.0,3.0,1.0,0.0,0.0,4.0,0.0,48.0,51.0,274.07,-0.73023,12.0,11.0,20.0,4.0
60.0,20.0,18.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.0,9.0,8.0,1.0,0.0,0.0,5.0,0.0,99.0,102.0,632.71,-5.0591,27.0,28.0,54.0,4.0
36.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,5.0,0.0,0.0,0.0,1.0,44.0,48.0,117.62,6.2188,3.0,5.0,12.0,5.0
24.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,27.0,31.0,40.54,4.3335,1.0,3.0,3.0,5.0
20.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,23.0,25.0,23.47,2.8465,1.0,2.0,4.0,3.0
19.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,23.0,25.0,39.72,3.1938,1.0,4.0,6.0,3.0
120.0,36.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,28.0,16.0,15.0,2.0,0.0,0.0,3.0,0.0,190.0,193.0,1209.4,-6.60966,50.0,47.0,115.0,4.0
21.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,27.0,30.0,94.83,1.9001,3.0,5.0,2.0,4.0
22.0,7.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,2.0,0.0,0.0,3.0,2.0,34.0,37.0,160.88,-0.7937,4.0,11.0,8.0,4.0
19.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,23.0,25.0,21.7,3.7782,0.0,3.0,6.0,3.0
28.0,6.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,3.0,1.0,0.0,0.0,1.0,0.0,41.0,42.0,223.5,0.1046,9.0,10.0,20.0,2.0
43.0,5.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,4.0,2.0,58.0,62.0,171.85,4.9292,1.0,14.0,11.0,5.0
57.0,21.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,9.0,7.0,1.0,0.0,0.0,1.0,0.0,94.0,95.0,650.81,-5.91729,29.0,24.0,53.0,2.0
12.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,16.0,18.0,52.58,2.5478,0.0,4.0,1.0,3.0
11.0,4.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,18.0,19.0,73.8,1.2895,2.0,3.0,1.0,2.0
